name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-07-30,22.8,15.9,18.7,22.8,15.9,18.7,14.4,77.4,0,0,0,,,,47.9,33.9,301.6,1015.9,56.3,15.6,289.8,25.1,9,,2015-07-30T06:11:22,2015-07-30T20:20:20,0.49,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-31,21.7,16,18.3,21.7,16,18.3,14.2,77.1,0,0,0,,,,38.9,30.3,285.4,1016.2,74.8,15.8,295,25.5,9,,2015-07-31T06:12:12,2015-07-31T20:19:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-01,23.6,17.2,19.8,23.6,17.2,19.8,14,69.9,0,0,0,,,,37.1,26.4,275.3,1015.4,55.2,15.9,328.7,28.5,10,,2015-08-01T06:13:03,2015-08-01T20:18:26,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-02,21.9,17,18.8,21.9,17,18.8,13.5,72.1,0,0,0,,,,46.4,28.2,270.1,1014.4,75.5,15.7,325.9,28.2,10,,2015-08-02T06:13:53,2015-08-02T20:17:27,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-03,23,17.5,19.7,23,17.5,19.7,12.4,63.5,0,0,0,,,,42.4,31.6,267.2,1014.5,61.8,16,317.3,27.5,9,,2015-08-03T06:14:44,2015-08-03T20:16:26,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-04,22.5,16.9,19.5,22.5,16.9,19.5,12.5,65.1,0,0,0,,,,38.9,24.3,271.3,1015.6,66.4,16,246.4,21.5,7,,2015-08-04T06:15:35,2015-08-04T20:15:24,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-05,23.3,15.2,18.9,23.3,15.2,18.9,13.5,71.6,0,0,0,,,,33.5,34.2,285.2,1015.8,44,16,333.9,28.8,10,,2015-08-05T06:16:26,2015-08-05T20:14:21,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-06,21.5,15.1,17.8,21.5,15.1,17.8,13.7,77.6,0.05,100,4.17,rain,,,,28.2,301.1,1012,59.2,15,250.3,21.4,8,,2015-08-06T06:17:17,2015-08-06T20:13:16,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-07,23.9,16.2,19.4,23.9,16.2,19.4,13.4,69.3,0,0,0,,,,,26.2,281.7,1011.7,47.4,15.6,325.8,28.2,10,,2015-08-07T06:18:08,2015-08-07T20:12:10,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-08,21.1,16.7,18.3,21.1,16.7,18.3,13.2,72.7,0,0,0,,,,47.3,26.8,261.8,1013.8,70.7,15.8,300.9,25.9,9,,2015-08-08T06:19:00,2015-08-08T20:11:03,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
